iso_code	date	total_cases	new_cases	total_deaths	new_deaths
AFG	01/01/2021	51526	0	2191	0
AFG	02/01/2021	51526	0	2191	0
AFG	03/01/2021	51526	0	2191	0
AFG	04/01/2021	53011	1485	2237	46
AFG	05/01/2021	53105	94	2244	7
AFG	06/01/2021	53105	0	2244	0
AFG	07/01/2021	53207	102	2253	9
AFG	08/01/2021	53332	125	2257	4
AFG	09/01/2021	53400	68	2264	7
AFG	10/01/2021	53489	89	2277	13
AFG	11/01/2021	53538	49	2288	11
AFG	12/01/2021	53584	46	2301	13
AFG	13/01/2021	53584	0	2301	0
AFG	14/01/2021	53775	191	2314	13
AFG	15/01/2021	53831	56	2324	10
AFG	16/01/2021	53938	107	2336	12
AFG	17/01/2021	53984	46	2339	3
AFG	18/01/2021	54062	78	2343	4
AFG	19/01/2021	54141	79	2346	3
AFG	20/01/2021	54278	137	2354	8
AFG	21/01/2021	54403	125	2363	9
AFG	22/01/2021	54483	80	2370	7
AFG	23/01/2021	54559	76	2373	3
AFG	24/01/2021	54595	36	2378	5
AFG	25/01/2021	54672	77	2385	7
AFG	26/01/2021	54750	78	2389	4
AFG	27/01/2021	54854	104	2389	0
AFG	28/01/2021	54891	37	2397	8
AFG	29/01/2021	54939	48	2399	2
AFG	30/01/2021	55008	69	2400	1
AFG	31/01/2021	55023	15	2400	0
AFG	01/02/2021	55059	36	2404	4
AFG	02/02/2021	55121	62	2405	1
AFG	03/02/2021	55174	53	2406	1
AFG	04/02/2021	55231	57	2407	1
AFG	05/02/2021	55265	34	2407	0
AFG	06/02/2021	55330	65	2408	1
AFG	07/02/2021	55335	5	2410	2
AFG	08/02/2021	55359	24	2413	3
AFG	09/02/2021	55384	25	2414	1
AFG	10/02/2021	55402	18	2418	4
AFG	11/02/2021	55420	18	2419	1
AFG	12/02/2021	55445	25	2424	5
AFG	13/02/2021	55473	28	2427	3
AFG	14/02/2021	55492	19	2427	0
AFG	15/02/2021	55514	22	2427	0
AFG	16/02/2021	55518	4	2428	1
AFG	17/02/2021	55540	22	2428	0
AFG	18/02/2021	55557	17	2430	2
AFG	19/02/2021	55575	18	2430	0
AFG	20/02/2021	55580	5	2430	0
AFG	21/02/2021	55604	24	2432	2
AFG	22/02/2021	55617	13	2433	1
AFG	23/02/2021	55646	29	2435	2
AFG	24/02/2021	55664	18	2436	1
AFG	25/02/2021	55680	16	2438	2
AFG	26/02/2021	55696	16	2442	4
AFG	27/02/2021	55707	11	2443	1
AFG	28/02/2021	55714	7	2443	0
AFG	01/03/2021	55733	19	2444	1
AFG	02/03/2021	55759	26	2446	2
AFG	03/03/2021	55770	11	2446	0
AFG	04/03/2021	55775	5	2446	0
AFG	05/03/2021	55827	52	2449	3
AFG	06/03/2021	55840	13	2449	0
AFG	07/03/2021	55847	7	2449	0
AFG	08/03/2021	55876	29	2451	2
AFG	09/03/2021	55876	0	2451	0
AFG	10/03/2021	55894	18	2451	0
AFG	11/03/2021	55917	23	2451	0
AFG	12/03/2021	55959	42	2454	3
AFG	13/03/2021	55959	0	2454	0
AFG	14/03/2021	55985	26	2457	3
AFG	15/03/2021	55985	0	2459	2
AFG	16/03/2021	55995	10	2460	1
AFG	17/03/2021	56016	21	2460	0
AFG	18/03/2021	56044	28	2462	2
AFG	19/03/2021	56069	25	2462	0
AFG	20/03/2021	56093	24	2462	0
AFG	21/03/2021	56103	10	2463	1
AFG	22/03/2021	56153	50	2464	1
AFG	23/03/2021	56177	24	2466	2
AFG	24/03/2021	56192	15	2466	0
AFG	25/03/2021	56226	34	2467	1
AFG	26/03/2021	56254	28	2467	0
AFG	27/03/2021	56290	36	2469	2
AFG	28/03/2021	56294	4	2470	1
AFG	29/03/2021	56322	28	2472	2
AFG	30/03/2021	56384	62	2476	4
AFG	31/03/2021	56454	70	2484	8
AFG	01/04/2021	56517	63	2489	5
AFG	02/04/2021	56572	55	2495	6
AFG	03/04/2021	56595	23	2496	1
AFG	04/04/2021	56676	81	2497	1
AFG	05/04/2021	56717	41	2508	11
AFG	06/04/2021	56779	62	2512	4
AFG	07/04/2021	56873	94	2512	0
AFG	08/04/2021	56943	70	2516	4
AFG	09/04/2021	57019	76	2521	5
AFG	10/04/2021	57144	125	2521	0
AFG	11/04/2021	57160	16	2521	0
AFG	12/04/2021	57242	82	2529	8
AFG	13/04/2021	57364	122	2529	0
AFG	14/04/2021	57492	128	2532	3
AFG	15/04/2021	57534	42	2533	1
AFG	16/04/2021	57612	78	2535	2
AFG	17/04/2021	57721	109	2539	4
AFG	18/04/2021	57793	72	2539	0
AFG	19/04/2021	57898	105	2546	7
AFG	20/04/2021	58037	139	2549	3
AFG	21/04/2021	58214	177	2557	8
AFG	22/04/2021	58312	98	2561	4
AFG	23/04/2021	58542	230	2565	4
AFG	24/04/2021	58730	188	2572	7
AFG	25/04/2021	58843	113	2582	10
AFG	26/04/2021	59015	172	2592	10
AFG	27/04/2021	59225	210	2598	6
AFG	28/04/2021	59370	145	2611	13
AFG	29/04/2021	59576	206	2618	7
AFG	30/04/2021	59745	169	2625	7
AFG	01/05/2021	59939	194	2631	6
AFG	02/05/2021	60122	183	2637	6
AFG	03/05/2021	60300	178	2642	5
AFG	04/05/2021	60563	263	2648	6
AFG	05/05/2021	60797	234	2654	6
AFG	06/05/2021	61162	365	2664	10
AFG	07/05/2021	61455	293	2673	9
AFG	08/05/2021	61755	300	2683	10
AFG	09/05/2021	61842	87	2686	3
AFG	10/05/2021	62063	221	2698	12
AFG	11/05/2021	62403	340	2710	12
AFG	12/05/2021	62718	315	2713	3
AFG	13/05/2021	63045	327	2721	8
AFG	14/05/2021	63355	310	2730	9
AFG	15/05/2021	63412	57	2733	3
AFG	16/05/2021	63484	72	2742	9
AFG	17/05/2021	63598	114	2745	3
AFG	18/05/2021	63819	221	2751	6
AFG	19/05/2021	64122	303	2762	11
AFG	20/05/2021	64575	453	2772	10
AFG	21/05/2021	65080	505	2782	10
AFG	22/05/2021	65486	406	2792	10
AFG	23/05/2021	65728	242	2802	10
AFG	24/05/2021	66275	547	2812	10
AFG	25/05/2021	66903	628	2836	24
AFG	26/05/2021	67743	840	2855	19
AFG	27/05/2021	68366	623	2869	14
AFG	28/05/2021	69130	764	2881	12
AFG	29/05/2021	70111	981	2899	18
AFG	30/05/2021	70761	650	2919	20
AFG	31/05/2021	71838	1077	2944	25
AFG	01/06/2021	72977	1139	2973	29
AFG	02/06/2021	74026	1049	3007	34
AFG	03/06/2021	75119	1093	3034	27
AFG	04/06/2021	76628	1509	3068	34
AFG	05/06/2021	77963	1335	3104	36
AFG	06/06/2021	79224	1261	3145	41
AFG	07/06/2021	80841	1617	3187	42
AFG	08/06/2021	82326	1485	3251	64
AFG	09/06/2021	84050	1724	3305	54
AFG	10/06/2021	85892	1842	3356	51
AFG	11/06/2021	87716	1824	3412	56
AFG	12/06/2021	88740	1024	3449	37
AFG	13/06/2021	89861	1121	3527	78
AFG	14/06/2021	91458	1597	3612	85
AFG	15/06/2021	93272	1814	3683	71
AFG	16/06/2021	93288	16	3683	0
AFG	17/06/2021	96531	3243	3842	159
AFG	18/06/2021	98734	2203	3934	92
AFG	19/06/2021	98734	0	3934	0
AFG	20/06/2021	98734	0	3934	0
AFG	21/06/2021	103902	5168	4215	281
AFG	22/06/2021	105749	1847	4293	78
AFG	23/06/2021	107957	2208	4366	73
AFG	24/06/2021	109532	1575	4452	86
AFG	25/06/2021	111592	2060	4519	67
AFG	26/06/2021	111592	0	4519	0
AFG	27/06/2021	111592	0	4519	0
AFG	28/06/2021	115751	4159	4730	211
AFG	29/06/2021	117158	1407	4794	64
AFG	30/06/2021	118659	1501	4871	77
AFG	01/07/2021	120216	1557	4962	91
AFG	02/07/2021	120216	0	4962	0
AFG	03/07/2021	120216	0	4962	0
AFG	04/07/2021	120216	0	4962	0
AFG	05/07/2021	125937	5721	5283	321
AFG	06/07/2021	127464	1527	5360	77
AFG	07/07/2021	129021	1557	5415	55
AFG	08/07/2021	130113	1092	5477	62
AFG	09/07/2021	131586	1473	5561	84
AFG	10/07/2021	131586	0	5561	0
AFG	11/07/2021	131586	0	5561	0
AFG	12/07/2021	134653	3067	5791	230
AFG	13/07/2021	134653	0	5791	0
AFG	14/07/2021	136643	1990	5923	132
AFG	15/07/2021	137853	1210	5983	60
AFG	16/07/2021	137853	0	5983	0
AFG	17/07/2021	137853	0	5983	0
AFG	18/07/2021	137853	0	5983	0
AFG	19/07/2021	141489	3636	6213	230
AFG	20/07/2021	142414	925	6266	53
AFG	21/07/2021	142414	0	6266	0
AFG	22/07/2021	143183	769	6325	59
AFG	23/07/2021	143439	256	6357	32
AFG	24/07/2021	143439	0	6357	0
AFG	25/07/2021	143439	0	6357	0
AGO	01/01/2021	17568	15	405	0
AGO	02/01/2021	17608	40	407	2
AGO	03/01/2021	17642	34	408	1
AGO	04/01/2021	17684	42	408	0
AGO	05/01/2021	17756	72	410	2
AGO	06/01/2021	17864	108	413	3
AGO	07/01/2021	17974	110	413	0
AGO	08/01/2021	18066	92	415	2
