tconst	averageRating
tt0073561	6.9
tt0073562	5.6
tt0073563	6.2
tt0073565	6.1
tt0073566	4.7
tt0073567	5
tt0073569	6.6
tt0073572	7.5
tt0073574	7.9
tt0073576	7
tt0073580	7.6
tt0073581	5.8
tt0073582	7.6
tt0073583	6.9
tt0073584	7
tt0073585	3.5
tt0073586	5.4
tt0073589	6.3
tt0073590	5.7
tt0073592	6.7
tt0073593	5
tt0073594	6.4
tt0073595	7.2
tt0073597	5.4
tt0073598	5.7
tt0073600	6.6
tt0073601	6.4
tt0073604	3.1
tt0073605	6.3
tt0073609	4.1
tt0073610	7.2
tt0073611	8.2
tt0073614	6.2
tt0073615	6.5
tt0073618	6.5
tt0073620	6.6
tt0073621	6.5
tt0073622	6.1
tt0073623	6.4
tt0073624	5.6
tt0073626	7
tt0073627	7.6
tt0073629	7.4
tt0073631	6.6
tt0073632	4.6
tt0073633	6.7
tt0073634	6.2
tt0073635	6.3
tt0073636	6.8
tt0073637	5.1
tt0073638	6.2
tt0073639	6.4
tt0073641	6
tt0073643	5.5
tt0073646	5.6
tt0073647	7.6
tt0073650	5.9
tt0073651	6.5
tt0073653	4.1
tt0073654	7.5
tt0073655	3.8
tt0073656	7.3
tt0073657	6.8
tt0073658	7.5
tt0073660	6.2
tt0073661	5.2
tt0073663	6.6
tt0073668	4
tt0073678	4.6
tt0073679	7.7
tt0073681	5.2
tt0073682	6.3
tt0073683	4
tt0073685	6.2
tt0073686	5.5
tt0073688	4.7
tt0073689	3.7
tt0073691	5.1
tt0073692	6.4
tt0073694	6.1
tt0073695	4.7
tt0073696	6.2
tt0073697	5.7
tt0073698	6.3
tt0073700	6.7
tt0073702	7.1
tt0073703	6.2
tt0073705	6.4
tt0073706	5.5
tt0073707	8.2
tt0073708	3.6
tt0073709	5.9
tt0073712	3.9
tt0073713	6.2
tt0073714	6.4
tt0073716	4.1
tt0073717	6.9
tt0073720	6.2
tt0073722	7.1
tt0073726	6.3
tt0073727	3.5
tt0073728	5.7
tt0073730	7.4
tt0073732	5.9
tt0073733	6.2
tt0073734	6.4
tt0073735	4.6
tt0073736	4.4
tt0073739	4.8
tt0073741	5.1
tt0073744	5.3
tt0073747	6.9
tt0073749	5.8
tt0073750	6
tt0073753	5.9
tt0073755	6.1
tt0073756	7
tt0073760	6
tt0073762	6.7
tt0073764	4.6
tt0073765	7
tt0073766	7.1
tt0073767	5.2
tt0073768	6
tt0073769	5
tt0073773	5.4
tt0073774	4.9
tt0073775	6.2
tt0073778	6.6
tt0073779	6.7
tt0073780	4.5
tt0073781	7.5
tt0073783	6.7
tt0073784	5.8
tt0073785	5.5
tt0073787	7.1
tt0073791	5.7
tt0073792	5.7
tt0073793	6.4
tt0073794	3.6
tt0073795	3.7
tt0073796	5.6
tt0073797	4.8
tt0073798	6.5
tt0073800	8
tt0073801	3.2
tt0073802	7.4
tt0073804	4.8
tt0073806	6.2
tt0073807	6.5
tt0073808	5.6
tt0073809	6.5
tt0073811	5.7
tt0073812	6.6
tt0073814	7.3
tt0073815	7.2
tt0073816	5.1
tt0073817	7.6
tt0073818	4.2
tt0073823	5.2
tt0073825	4.2
tt0073827	5.8
tt0073829	5.2
tt0073830	6.4
tt0073831	4.6
tt0073835	5.7
tt0073836	6.2
tt0073838	6.9
tt0073839	6.9
tt0073841	7.4
tt0073844	7.2
tt0073845	5.4
tt0073846	4.3
tt0073847	3.9
tt0073848	3.9
tt0073849	6.8
tt0073854	6.6
tt0073855	7.4
tt0073856	6.2
tt0073857	5.5
tt0073858	7.4
tt0073859	7.2
tt0073861	5.8
tt0073863	6.4
tt0073864	7.6
tt0073865	4.3
tt0073867	6.2
tt0073869	5.7
tt0073870	5.3
tt0073871	5
tt0073872	4.8
tt0073873	6.3
tt0073875	5.3
tt0073877	4.6
tt0073878	5.9
tt0073879	6.7
tt0073880	6.1
tt0073882	5.4
tt0073885	8.1
tt0073887	8.3
tt0073889	6.8
tt0073891	4.5
tt0073895	5.5
tt0073896	6.1
tt0073899	6.9
tt0073901	6.4
tt0073902	4.8
tt0073903	5.5
tt0073905	7.2
tt0073906	6.9
tt0073908	8
tt0073911	7.1
tt0073915	6.7
tt0073916	7
tt0073917	4.3
tt0073918	7.2
tt0073920	3
tt0073924	6.2
tt0073925	7.1
tt0073928	6
tt0073929	5.5
tt0073930	5.8
tt0073931	6.5
tt0073932	4.8
tt0073933	7.3
tt0073934	7.3
tt0073935	3.8
tt0073936	3.8
tt0073937	6.3
tt0073939	6.5
tt0073941	6.3
tt0073942	4
tt0073943	5.8
tt0073945	5.3
tt0073946	6.2
tt0073948	7.3
tt0074060	6.1
tt0074080	5.3
tt0074081	5.4
tt0074082	6.7
tt0074083	6.4
tt0074084	7.7
tt0074086	5.3
tt0074087	3.4
tt0074089	5
tt0074090	6.7
tt0074093	6.3
tt0074094	4.3
tt0074095	5.5
tt0074096	6.3
tt0074097	5.2
tt0074098	5.2
tt0074100	7
tt0074101	5.8
tt0074102	6.6
tt0074103	7.2
tt0074104	7
tt0074106	6.6
tt0074107	7.3
tt0074108	5.4
tt0074109	4.2
tt0074110	4.5
tt0074111	5.4
tt0074112	5.2
tt0074113	6.3
tt0074114	6.8
tt0074116	6.7
tt0074117	5
tt0074119	8
tt0074120	5.6
tt0074121	7.5
tt0074123	6.6
tt0074124	7
tt0074125	7.4
tt0074127	4.9
tt0074128	4.9
tt0074130	5.1
tt0074131	8.3
tt0074135	3.8
tt0074137	6
tt0074138	4.3
tt0074139	4.2
tt0074140	6.6
tt0074141	6.5
tt0074142	6.8
tt0074143	6.8
tt0074144	6.3
tt0074146	6.4
tt0074147	7.6
tt0074148	2.5
tt0074149	5.2
tt0074150	6.8
tt0074152	7.7
tt0074153	6.1
tt0074156	7.4
tt0074157	5.1
tt0074158	7.4
tt0074159	3.6
tt0074160	4.8
tt0074161	7.8
tt0074166	4.5
tt0074168	7.3
tt0074170	6.2
tt0074173	6.1
tt0074174	7.3
tt0074176	5.8
tt0074178	6.9
tt0074179	7.1
tt0074180	6.6
tt0074184	6.1
tt0074186	7.8
tt0074187	8.2
tt0074188	5
tt0074189	4.5
tt0074190	6.4
tt0074191	5.2
tt0074192	6.3
tt0074194	6.4
tt0074196	5
tt0074197	4.4
tt0074198	4.8
tt0074199	3.6
tt0074201	4.8
tt0074202	6.6
tt0074203	6.7
tt0074204	6.3
tt0074205	5.6
tt0074207	6.8
tt0074208	7.7
tt0074209	4.5
tt0074210	5
tt0074211	6.2
tt0074212	6.2
tt0074213	4.7
tt0074214	4.8
tt0074216	6.3
tt0074219	5.2
tt0074220	6.7
tt0074222	3.8
tt0074224	5.7
tt0074225	5.5
tt0074226	6
tt0074228	5.3
tt0074229	4.8
tt0074230	6.6
tt0074231	6.8
tt0074232	5.5
tt0074233	5.7
tt0074235	7.3
tt0074237	3.2
tt0074238	5.5
tt0074243	5.2
tt0074245	7.5
tt0074246	6.3
tt0074247	3.6
tt0074249	5.9
tt0074250	6.2
tt0074251	7.4
tt0074252	7.8
tt0074253	6.7
tt0074254	6.1
tt0074256	6.8
tt0074258	6.5
tt0074259	7.1
tt0074260	1.4
tt0074262	7.3
tt0074263	6.3
tt0074265	4.7
tt0074267	6
tt0074268	5.2
tt0074269	4.4
tt0074271	6.5
tt0074272	5.6
tt0074273	6.5
tt0074274	5.3
tt0074277	5.6
tt0074278	7.4
tt0074279	5.5
tt0074280	3.2
tt0074281	6.2
tt0074282	5
tt0074284	6.3
tt0074285	7.4
tt0074286	4.1
tt0074287	7.1
tt0074289	4.7
tt0074290	4.7
tt0074291	7.1
tt0074292	6.4
tt0074294	4.8
tt0074296	5.6
tt0074297	5.1
tt0074298	6.6
tt0074299	6.3
tt0074300	6.7
tt0074302	6.8
tt0074303	4.8
tt0074305	5.4
tt0074306	4
tt0074308	4.6
